,Province_State,Country_Region,Confirmed,Deaths,Recovered,Active,Latitude,Longitude,FIPS,Admin2
52864,California,US,4.0,0.0,0.0,0.0,39.4381191,-123.3911313,6045.0,Mendocino
52865,Kentucky,US,3.0,0.0,0.0,0.0,37.94090733,-83.59985712,21165.0,Menifee
52866,Wisconsin,US,1.0,0.0,0.0,0.0,45.00422544,-88.70950714,55078.0,Menominee
52867,California,US,29.0,1.0,0.0,0.0,37.18922369,-120.7209035,6047.0,Merced
52868,Illinois,US,2.0,0.0,0.0,0.0,41.20596782,-90.74290052,17131.0,Mercer
52869,Kentucky,US,4.0,0.0,0.0,0.0,37.81474237,-84.87488475,21167.0,Mercer
52870,New Jersey,US,740.0,19.0,0.0,0.0,40.28047017,-74.70479631,34021.0,Mercer
52871,North Dakota,US,0.0,0.0,0.0,0.0,47.31213126,-101.8318399,38057.0,Mercer
52872,Ohio,US,8.0,1.0,0.0,0.0,40.54043046,-84.62912742,39107.0,Mercer
52873,Pennsylvania,US,18.0,0.0,0.0,0.0,41.30248872,-80.25816981,42085.0,Mercer
52874,West Virginia,US,4.0,0.0,0.0,0.0,37.40481169,-81.11023142,54055.0,Mercer
52875,Georgia,US,13.0,0.0,0.0,0.0,33.04163534,-84.68859732,13199.0,Meriwether
52876,Nebraska,US,2.0,0.0,0.0,0.0,41.16624273,-98.0374887,31121.0,Merrick
52877,New Hampshire,US,52.0,0.0,0.0,0.0,43.29662971,-71.6811573,33013.0,Merrimack
52878,Colorado,US,25.0,0.0,0.0,0.0,39.01787888,-108.469799,8077.0,Mesa
52879,Indiana,US,7.0,0.0,0.0,0.0,40.76940965,-86.04525048,18103.0,Miami
52880,Kansas,US,2.0,0.0,0.0,0.0,38.56383358,-94.83832189,20121.0,Miami
52881,Ohio,US,90.0,10.0,0.0,0.0,40.0543329,-84.22871271,39109.0,Miami
52882,Florida,US,4481.0,37.0,0.0,0.0,25.6112362,-80.55170587,12086.0,Miami-Dade
52883,Connecticut,US,135.0,7.0,0.0,0.0,41.45949668,-72.53714864,9007.0,Middlesex
52884,Massachusetts,US,2950.0,47.0,0.0,0.0,42.48607732,-71.39049229,25017.0,Middlesex
52885,New Jersey,US,3263.0,87.0,0.0,0.0,40.43629879,-74.41426991,34023.0,Middlesex
52886,Virginia,US,0.0,0.0,0.0,0.0,37.63191998,-76.55064617,51119.0,Middlesex
52887,Michigan,US,22.0,0.0,0.0,0.0,43.64330771,-84.38804374,26111.0,Midland
52888,Texas,US,24.0,1.0,0.0,0.0,31.86904128,-102.0315682,48329.0,Midland
52889,Pennsylvania,US,9.0,0.0,0.0,0.0,40.61116939,-77.61070738,42087.0,Mifflin
52890,Texas,US,3.0,0.0,0.0,0.0,30.78581830000001,-96.97718698,48331.0,Milam
52891,Arkansas,US,8.0,0.0,0.0,0.0,33.31403423,-93.89285258,5091.0,Miller
52892,Georgia,US,14.0,0.0,0.0,0.0,31.16568912,-84.73151117,13201.0,Miller
52893,Iowa,US,1.0,0.0,0.0,0.0,41.03299766,-95.61920963,19129.0,Mills
52894,Wisconsin,US,1256.0,40.0,0.0,0.0,43.00486062,-87.96733172,55079.0,Milwaukee
52895,Colorado,US,2.0,0.0,0.0,0.0,37.66954283,-106.9281698,8079.0,Mineral
52896,West Virginia,US,2.0,0.0,0.0,0.0,39.41561583,-78.94104895,54057.0,Mineral
52897,Idaho,US,3.0,0.0,0.0,0.0,42.85518524,-113.6357257,16067.0,Minidoka
52898,South Dakota,US,140.0,1.0,0.0,0.0,43.67441641,-96.7910885,46099.0,Minnehaha
52899,Michigan,US,1.0,1.0,0.0,0.0,44.33772443,-85.09256478,26113.0,Missaukee
52900,Arkansas,US,1.0,0.0,0.0,0.0,35.76271485,-90.05194370000002,5093.0,Mississippi
52901,Montana,US,21.0,1.0,0.0,0.0,47.03728583,-113.92135079999998,30063.0,Missoula
52902,Georgia,US,56.0,1.0,0.0,0.0,31.22483255,-84.19381821,13205.0,Mitchell
52903,Iowa,US,2.0,0.0,0.0,0.0,43.35638371,-92.78887719,19131.0,Mitchell
52904,Kansas,US,2.0,0.0,0.0,0.0,39.39331582,-98.20906732,20123.0,Mitchell
52905,North Carolina,US,2.0,0.0,0.0,0.0,36.01059309,-82.1582442,37121.0,Mitchell
52906,Alabama,US,143.0,6.0,0.0,0.0,30.78472347,-88.20842409,1097.0,Mobile
52907,Colorado,US,3.0,0.0,0.0,0.0,40.61810999,-108.2070876,8081.0,Moffat
52908,Arizona,US,20.0,0.0,0.0,0.0,35.70471703,-113.7577902,4015.0,Mohave
52909,Missouri,US,4.0,0.0,0.0,0.0,38.63571781,-92.57976951,29135.0,Moniteau
52910,New Jersey,US,2545.0,62.0,0.0,0.0,40.26549699,-74.22240686,34025.0,Monmouth
52911,California,US,19.0,1.0,0.0,0.0,37.93899289,-118.8872409,6051.0,Mono
52912,Iowa,US,6.0,0.0,0.0,0.0,42.05220391,-95.95743843,19133.0,Monona
52913,West Virginia,US,53.0,1.0,0.0,0.0,39.63218457,-80.04766838,54061.0,Monongalia
52914,Alabama,US,5.0,0.0,0.0,0.0,31.56729412,-87.36995001,1099.0,Monroe
52915,Arkansas,US,1.0,0.0,0.0,0.0,34.6815935,-91.20540287,5095.0,Monroe
52916,Florida,US,45.0,2.0,0.0,0.0,25.20904673,-81.07812416,12087.0,Monroe
52917,Georgia,US,10.0,1.0,0.0,0.0,33.014289,-83.92097166,13207.0,Monroe
52918,Illinois,US,11.0,0.0,0.0,0.0,38.27594376,-90.17761038,17133.0,Monroe
52919,Indiana,US,48.0,0.0,0.0,0.0,39.16130004,-86.52414358,18105.0,Monroe
52920,Michigan,US,117.0,0.0,0.0,0.0,41.92734151,-83.53749864,26115.0,Monroe
52921,Mississippi,US,16.0,1.0,0.0,0.0,33.89236763,-88.4808438,28095.0,Monroe
52922,New York,US,574.0,26.0,0.0,0.0,43.14638895,-77.69322942,36055.0,Monroe
52923,Ohio,US,2.0,0.0,0.0,0.0,39.72984936,-81.08464734,39111.0,Monroe
52924,Pennsylvania,US,572.0,11.0,0.0,0.0,41.05934058,-75.34031025,42089.0,Monroe
52925,Tennessee,US,6.0,0.0,0.0,0.0,35.44550387,-84.24902965,47123.0,Monroe
52926,Wisconsin,US,7.0,0.0,0.0,0.0,43.94641218,-90.618819,55081.0,Monroe
52927,Texas,US,1.0,0.0,0.0,0.0,33.67521893,-97.72500958,48337.0,Montague
52928,Michigan,US,15.0,0.0,0.0,0.0,43.31082541,-85.15252824,26117.0,Montcalm
52929,California,US,62.0,2.0,0.0,0.0,36.21862405,-121.2413397,6053.0,Monterey
52930,Colorado,US,8.0,1.0,0.0,0.0,37.33859579,-108.5958857,8083.0,Montezuma
52931,Alabama,US,71.0,1.0,0.0,0.0,32.2206831,-86.20969272,1101.0,Montgomery
52932,Illinois,US,3.0,1.0,0.0,0.0,39.23198845,-89.47809254,17135.0,Montgomery
52933,Indiana,US,15.0,0.0,0.0,0.0,40.04034823,-86.89335024,18107.0,Montgomery
52934,Iowa,US,1.0,0.0,0.0,0.0,41.03018714,-95.15642896,19137.0,Montgomery
52935,Kansas,US,9.0,0.0,0.0,0.0,37.19236568,-95.74329258,20125.0,Montgomery
52936,Kentucky,US,5.0,0.0,0.0,0.0,38.03253032,-83.9145241,21173.0,Montgomery
52937,Maryland,US,793.0,19.0,0.0,0.0,39.13676329,-77.20358245,24031.0,Montgomery
52938,Mississippi,US,11.0,1.0,0.0,0.0,33.49419589,-89.61729103,28097.0,Montgomery
52939,Missouri,US,5.0,0.0,0.0,0.0,38.94022054,-91.47000721,29139.0,Montgomery
52940,New York,US,15.0,1.0,0.0,0.0,42.90123494,-74.44011632,36057.0,Montgomery
52941,North Carolina,US,10.0,1.0,0.0,0.0,35.33155144,-79.90416657,37123.0,Montgomery
52942,Ohio,US,109.0,2.0,0.0,0.0,39.75394919,-84.29050975,39113.0,Montgomery
52943,Pennsylvania,US,1230.0,18.0,0.0,0.0,40.21053671,-75.36652296,42091.0,Montgomery
52944,Tennessee,US,54.0,1.0,0.0,0.0,36.49609412,-87.38550661,47125.0,Montgomery
52945,Texas,US,161.0,3.0,0.0,0.0,30.30079133,-95.50572772,48339.0,Montgomery
52946,Virginia,US,7.0,0.0,0.0,0.0,37.17746986,-80.37868691,51121.0,Montgomery
52947,Pennsylvania,US,37.0,0.0,0.0,0.0,41.03023987,-76.66345939,42093.0,Montour
52948,Colorado,US,34.0,2.0,0.0,0.0,38.40214114,-108.26390220000002,8085.0,Montrose
52949,North Carolina,US,14.0,2.0,0.0,0.0,35.30885257,-79.48474178,37125.0,Moore
52950,Tennessee,US,0.0,0.0,0.0,0.0,35.27724699,-86.36230578,47127.0,Moore
52951,Texas,US,6.0,0.0,0.0,0.0,35.83769242,-101.8930281,48341.0,Moore
52952,Louisiana,US,15.0,0.0,0.0,0.0,32.81686191,-91.80421614,22067.0,Morehouse
52953,Alabama,US,29.0,0.0,0.0,0.0,34.45500589,-86.85475946,1103.0,Morgan
52954,Colorado,US,19.0,0.0,0.0,0.0,40.26279810000001,-103.8093302,8087.0,Morgan
52955,Georgia,US,5.0,0.0,0.0,0.0,33.59232073,-83.49129491,13211.0,Morgan
52956,Illinois,US,7.0,1.0,0.0,0.0,39.71654544,-90.20255104,17137.0,Morgan
52957,Indiana,US,76.0,1.0,0.0,0.0,39.47899078,-86.44573375,18109.0,Morgan
52958,Missouri,US,1.0,0.0,0.0,0.0,38.4181765,-92.88791859,29141.0,Morgan
52959,Ohio,US,1.0,0.0,0.0,0.0,39.62081738,-81.85308173,39115.0,Morgan
52960,Tennessee,US,5.0,0.0,0.0,0.0,36.13248031,-84.64880098,47129.0,Morgan
52961,West Virginia,US,3.0,0.0,0.0,0.0,39.55439028,-78.26311676,54065.0,Morgan
52962,Kansas,US,2.0,0.0,0.0,0.0,38.68827511,-96.65128437,20127.0,Morris
52963,New Jersey,US,1956.0,60.0,0.0,0.0,40.86095313,-74.54553709999998,34027.0,Morris
52964,Texas,US,1.0,0.0,0.0,0.0,33.11304005,-94.73255695,48343.0,Morris
52965,Ohio,US,5.0,0.0,0.0,0.0,40.52363560000001,-82.7892599,39117.0,Morrow
52966,Oregon,US,2.0,0.0,0.0,0.0,45.41846568,-119.584546,41049.0,Morrow
52967,Kansas,US,1.0,0.0,0.0,0.0,37.19141121,-101.79925190000002,20129.0,Morton
52968,North Dakota,US,17.0,1.0,0.0,0.0,46.71681782,-101.2822377,38059.0,Morton
52969,Illinois,US,1.0,0.0,0.0,0.0,39.64187451,-88.62099969,17139.0,Moultrie
52970,North Dakota,US,19.0,0.0,0.0,0.0,48.20197971,-102.3555315,38061.0,Mountrail
52971,Minnesota,US,17.0,0.0,0.0,0.0,43.67142874,-92.75234549,27099.0,Mower
52972,Kentucky,US,0.0,0.0,0.0,0.0,37.21425819,-87.14632053,21177.0,Muhlenberg
52973,Oregon,US,233.0,7.0,0.0,0.0,45.54747959,-122.4169351,41051.0,Multnomah
52974,Georgia,US,10.0,0.0,0.0,0.0,34.78897608,-84.74993177,13213.0,Murray
52975,Minnesota,US,1.0,0.0,0.0,0.0,44.02216709,-95.76328482,27101.0,Murray
52976,Iowa,US,41.0,1.0,0.0,0.0,41.48370744,-91.1121697,19139.0,Muscatine
52977,Georgia,US,40.0,0.0,0.0,0.0,32.50931999,-84.87142262,13215.0,Muscogee
52978,Michigan,US,33.0,4.0,0.0,0.0,43.29123859,-86.15176712,26121.0,Muskegon
52979,Ohio,US,5.0,0.0,0.0,0.0,39.96575964,-81.94363275,39119.0,Muskingum
52980,Oklahoma,US,20.0,2.0,0.0,0.0,35.61318461,-95.37802952,40101.0,Muskogee
52981,Montana,US,1.0,0.0,0.0,0.0,46.49684637,-108.39498,30065.0,Musselshell
52982,Texas,US,18.0,2.0,0.0,0.0,31.62017125,-94.61803994,48347.0,Nacogdoches
52983,California,US,22.0,2.0,0.0,0.0,38.50735751,-122.332839,6055.0,Napa
52984,North Carolina,US,21.0,0.0,0.0,0.0,35.96575634,-77.98422508,37127.0,Nash
52985,Florida,US,25.0,0.0,0.0,0.0,30.61037141,-81.80297522,12089.0,Nassau
52986,New York,US,15616.0,162.0,0.0,0.0,40.74066522,-73.58941873,36059.0,Nassau
52987,Louisiana,US,22.0,0.0,0.0,0.0,31.72321584,-93.09816516,22069.0,Natchitoches
52988,Wyoming,US,25.0,0.0,0.0,0.0,42.96180148,-106.797885,56025.0,Natrona
52989,Arizona,US,359.0,1.0,0.0,0.0,35.402,-110.1403,4017.0,Navajo
52990,Texas,US,4.0,1.0,0.0,0.0,32.04620681,-96.47428766,48349.0,Navarro
52991,Kentucky,US,4.0,0.0,0.0,0.0,37.80335779,-85.4657193,21179.0,Nelson
52992,Virginia,US,2.0,0.0,0.0,0.0,37.78790447,-78.88498513,51125.0,Nelson
52993,Nebraska,US,1.0,0.0,0.0,0.0,40.38514847,-95.85433992,31127.0,Nemaha
52994,Kansas,US,1.0,0.0,0.0,0.0,37.55862897,-95.30670046,20133.0,Neosho
52995,Mississippi,US,11.0,0.0,0.0,0.0,32.75339664,-89.11726492,28099.0,Neshoba
52996,Arkansas,US,1.0,0.0,0.0,0.0,33.66340119,-93.30632432,5099.0,Nevada
52997,California,US,32.0,1.0,0.0,0.0,39.30394768,-120.7627281,6057.0,Nevada
52998,Delaware,US,496.0,9.0,0.0,0.0,39.57992638,-75.64054974,10003.0,New Castle
52999,North Carolina,US,47.0,0.0,0.0,0.0,34.25758282,-77.87075626,37129.0,New Hanover
53000,Connecticut,US,1468.0,41.0,0.0,0.0,41.4080325,-72.93620426,9009.0,New Haven
